Restaurant ,Cuisine ,American,Chinese,French,Fusion,Greek,Indian,Italian,Japanese,Latin American,Levantine,Mexican,Qatari,Southeast Asian,Spanish ,Steakhouse
Hudson Tavern ,American,Hudson Tavern ,Hakkassan,Izu ,Char Eclectic Grill ,Mykonos ,Jamavar ,Trapani,Nozomi ,COYA,Abajour,Maya ,Smat ,Spice Market,Bibo ,STK 
Brisket,American,Brisket,Liang ,IDAM by Alain Ducasse,Timeless,Hellas ,Jwala,Cucina,Morimoto,Toro Toro,Bayt El Talleh ,Seniorita's Tex Mex,Jiwan ,Saffron,The Cellar ,Sazeli 
Applebee's,American,Applebee's,Ruby Wu's ,Shirvan Mètisse ,L'wzaar Sea Food Restaurant,,Riyasat ,La Veranda,Nobu ,La Bodega Negra,Al Sufra,,,,,Astor Grill 
Public House,American,Public House,,Sel & Miel ,Zengo ,,,La Spiga by Papermoon ,12 Chairs,La Mar Doha by Gastón Acurio,Walima ,,,,,CUT by Wolfgang Puck
Chili's ,American,Chili's ,,,BOHO Social ,,,Scalini ,,IKA ,Burj Al Hamam,,,,,Nusret Steakhouse
Hakkassan,Chinese,,,,Teatro ,,,,,Ipanema,Al Mourjan ,,,,,Hunters Room & Grill 
Liang ,Chinese,,,,Iksha 360 ,,,,,,Em Sherif ,,,,,
Ruby Wu's ,Chinese,,,,,,,,,,,,,,,
Izu ,French,,,,,,,,,,,,,,,
IDAM by Alain Ducasse,French,,,,,,,,,,,,,,,
Shirvan Mètisse ,French,,,,,,,,,,,,,,,
Sel & Miel ,French,,,,,,,,,,,,,,,
Char Eclectic Grill ,Fusion,,,,,,,,,,,,,,,
Timeless,Fusion,,,,,,,,,,,,,,,
L'wzaar Sea Food Restaurant,Fusion,,,,,,,,,,,,,,,
Zengo ,Fusion,,,,,,,,,,,,,,,
BOHO Social ,Fusion,,,,,,,,,,,,,,,
Teatro ,Fusion,,,,,,,,,,,,,,,
Iksha 360 ,Fusion,,,,,,,,,,,,,,,
Mykonos ,Greek,,,,,,,,,,,,,,,
Hellas ,Greek,,,,,,,,,,,,,,,
Jamavar ,Indian,,,,,,,,,,,,,,,
Jwala,Indian,,,,,,,,,,,,,,,
Riyasat ,Indian,,,,,,,,,,,,,,,
Trapani,Italian,,,,,,,,,,,,,,,
Cucina,Italian,,,,,,,,,,,,,,,
La Veranda,Italian,,,,,,,,,,,,,,,
La Spiga by Papermoon ,Italian,,,,,,,,,,,,,,,
Scalini ,Italian,,,,,,,,,,,,,,,
Nozomi ,Japanese ,,,,,,,,,,,,,,,
Morimoto,Japanese ,,,,,,,,,,,,,,,
Nobu ,Japanese ,,,,,,,,,,,,,,,
12 Chairs,Japanese ,,,,,,,,,,,,,,,
COYA,Latin American,,,,,,,,,,,,,,,
Toro Toro,Latin American,,,,,,,,,,,,,,,
La Bodega Negra,Latin American,,,,,,,,,,,,,,,
La Mar Doha by Gastón Acurio,Latin American,,,,,,,,,,,,,,,
IKA ,Latin American,,,,,,,,,,,,,,,
Ipanema,Latin American,,,,,,,,,,,,,,,
Abajour,Levantine,,,,,,,,,,,,,,,
Bayt El Talleh ,Levantine,,,,,,,,,,,,,,,
Al Sufra,Levantine,,,,,,,,,,,,,,,
Walima ,Levantine,,,,,,,,,,,,,,,
Burj Al Hamam,Levantine,,,,,,,,,,,,,,,
Al Mourjan ,Levantine,,,,,,,,,,,,,,,
Em Sherif ,Levantine,,,,,,,,,,,,,,,
Maya ,Mexican,,,,,,,,,,,,,,,
Seniorita's Tex Mex,Mexican,,,,,,,,,,,,,,,
Smat ,Qatari,,,,,,,,,,,,,,,
Jiwan ,Qatari,,,,,,,,,,,,,,,
Spice Market,Southeast Asian,,,,,,,,,,,,,,,
Saffron,Southeast Asian,,,,,,,,,,,,,,,
Bibo ,Spanish,,,,,,,,,,,,,,,
The Cellar ,Spanish,,,,,,,,,,,,,,,
STK ,Steakhouse,,,,,,,,,,,,,,,
Sazeli ,Steakhouse,,,,,,,,,,,,,,,
Astor Grill ,Steakhouse,,,,,,,,,,,,,,,
CUT by Wolfgang Puck,Steakhouse,,,,,,,,,,,,,,,
Nusret Steakhouse,Steakhouse,,,,,,,,,,,,,,,
Hunters Room & Grill ,Steakhouse,,,,,,,,,,,,,,,